Conductividad total
Conductividad  disuelto
Feofitina total
Feofitina  disuelto
Fósforo total
Fósforo  disuelto
nitrato total
nitrato  disuelto
nitrito total
nitrito  disuelto
Oxígeno total
Oxígeno  disuelto
pH total
pH  disuelto
Salinidad total
Salinidad  disuelto
Sólidos total
Sólidos  disuelto
Sulfato total
Sulfato  disuelto
Temperatura total
Temperatura  disuelto
Turbiedad total
Turbiedad  disuelto
Clorofila total
Clorofila  disuelto
Cromo total
Cromo  disuelto
Color total
Color  disuelto
HAMs total
HAMs  disuelto
HAPs total
HAPs  disuelto
Detergentes total
Detergentes  disuelto
Índice total
Índice  disuelto
Hidrocarburos total
Hidrocarburos  disuelto
Hidrocarburos total
Hidrocarburos  disuelto
Hidrocarburos total
Hidrocarburos  disuelto
Coliformes total
Coliformes  disuelto
Coliformes total
Coliformes  disuelto
DBO5 total
DBO5  disuelto
Sólidos total
Sólidos  disuelto
Nitrógeno total
Nitrógeno  disuelto
Cianuro total
Cianuro  disuelto
Fluoruro total
Fluoruro  disuelto
Aceites total
Aceites  disuelto
Hidrocarburos total
Hidrocarburos  disuelto
Cadmio total
Cadmio  disuelto
Cobre total
Cobre  disuelto
Cromo total
Cromo  disuelto
Estaño total
Estaño  disuelto
Hierro total
Hierro  disuelto
Manganeso total
Manganeso  disuelto
Mercurio total
Mercurio  disuelto
Molibdeno total
Molibdeno  disuelto
Plomo total
Plomo  disuelto
Selenio total
Selenio  disuelto
Zinc total
Zinc  disuelto
Aluminio total
Aluminio  disuelto
Arsénico total
Arsénico  disuelto
HAPs total
HAPs  disuelto
COT total
COT  disuelto
GRANULOMETRIA total
GRANULOMETRIA  disuelto
MATERIA total
MATERIA  disuelto
ACEITES total
ACEITES  disuelto
HIDROCARBUROS total
HIDROCARBUROS  disuelto
As total
As  disuelto
Cd total
Cd  disuelto
Cu total
Cu  disuelto
Cr total
Cr  disuelto
Hg total
Hg  disuelto
Mo total
Mo  disuelto
Pb total
Pb  disuelto
Se total
Se  disuelto
Zn total
Zn  disuelto
NITRÓGENO total
NITRÓGENO  disuelto
